addr_street,number_of_parks
185 SKILLMAN STREET,8
185 SOUTH 4 STREET,9
1854 ADAM C POWELL BLVD,10
1858 ADAM C POWELL BLVD,10
185A 8 STREET,4
186 BROADWAY,9
186 CLYMER STREET,7
186 FRANKLIN STREET,20
186 GREENPOINT AVENUE,5
186 HOWARD AVENUE,6
186 LENOX ROAD,5
186 LINCOLN PLACE,4
186 MOFFAT STREET,5
186 QUINCY STREET,7
186 RICHARDSON STREET,16
186 SCHOLES STREET,7
186 STATE STREET,13
1865 OCEAN AVENUE,2
1866 OCEAN AVENUE,2
1867 ADAM C POWELL BLVD,9
1869 GATES AVENUE,3
187 79 STREET,4
187 BEDFORD AVENUE,11
187 EAST 4 STREET,13
187 FRANKLIN STREET,6
187 MESEROLE STREET,2
187 PALMETTO STREET,6
187 PINEHURST AVENUE,6
187 SKILLMAN AVENUE,10
187 UTICA AVENUE,3
187 WAVERLY AVENUE,8
1873 2 AVENUE,7
1875 ATLANTIC AVENUE,4
1875 PALMETTO STREET,3
1876 3 AVENUE,8
1879 PUTNAM AVENUE,5
188 2 AVENUE,12
188 BLEECKER STREET,13
188 EAST 64 STREET,3
188 EAST 70 STREET,1
188 EAST 76 STREET,0
188 GREENPOINT AVENUE,3
188 NOLL STREET,4
188 PARKSIDE AVENUE,8
188 SOUTH 8 STREET,11
188 WOODPOINT ROAD,9
1882 3 AVENUE,8
1882 BERGEN STREET,4
1883 AMSTERDAM AVENUE,11
1884 GATES AVENUE,3
1887 HART STREET,1
1888 BERGEN STREET,4
189 AVENUE C,8
189 BEDFORD AVENUE,10
189 EAST 7 STREET,14
189 MESEROLE AVENUE,3
189 NORMAN AVENUE,5
189 SCHERMERHORN STREET,7
189 STERLING PLACE,7
189 WEST 89 STREET,10
189 YORK STREET,10
189-10 37 AVENUE,1
18A BLEECKER STREET,3
19 CHARLOTTE STREET,1
19 CLINTON STREET,13
19 DOYERS STREET,15
19 EAST 108 STREET,11
19 EAST 21 STREET,11
19 EAST 88 STREET,3
19 GRACE COURT,20
19 LEFFERTS PLACE,5
19 MICIELI PLACE,3
19 MURRAY STREET,20
19 STUYVESANT OVAL,9
19 STUYVESANT STREET,14
19 WEST 103 STREET,11
19 WEST 116 STREET,8
19 WEST 122 STREET,11
19 WEST 123 STREET,11
19 WEST 82 STREET,3
19-03 DITMARS BOULEVARD,4
19-08 81 STREET,5
19-09 22 DRIVE,5
19-14 23 AVENUE,6
19-19 21 ROAD,2
19-19 24 AVENUE,5
19-20 23 AVENUE,6
19-20 24 AVENUE,5
19-20 24 ROAD,5
19-20 76 STREET,3
19-21 DITMARS BOULEVARD,4
19-22 24 ROAD,5
19-24 23 AVENUE,6
19-37 LINDEN STREET,3
19-58 79TH STREET,5
190 72 STREET,7
190 BEACH 69TH STREET,2
190 CLAREMONT AVENUE,5
190 EAST 2 STREET,13
190 FREEMAN STREET,8
190 LEFFERTS PLACE,4
190 NORTH 9 STREET,13
190 SOUTH 1 STREET,10
190-02 37 AVENUE,1
190-12 39 AVENUE,1
1900 COLDEN AVENUE,1
1900 LEXINGTON AVENUE,11
1901 DORCHESTER ROAD,1
1901 EAST 19 STREET,3
1902 AVENUE O,1
1906 8 AVENUE,10
1908 3 AVENUE,7
191 23 STREET,5
191 5 AVENUE,2
191 CORNELIA STREET,6
191 DEVOE STREET,9
191 GRAND STREET,20
191 KENT STREET,5
191 MESEROLE STREET,6
191 SUMPTER STREET,9
191 WILLOUGHBY STREET,11
1916 PROSPECT PLACE,9
1917 68 STREET,1
192 AVENUE B,10
192 CLAREMONT AVENUE,6
192 CORNELIA STREET,7
192 EAST 75 STREET,1
192 GREENE AVENUE,7
192 GREENPOINT AVENUE,3
192 HAWTHORNE STREET,4
192 NORTH 6 STREET,12
192-11 JAMAICA AVENUE,2
1920 HARMAN STREET,2
1921 GATES AVENUE,4
1921 PUTNAM AVENUE,5
1923 70 STREET,3
1925 QUENTIN ROAD,2
1926 PACIFIC STREET,6
1928 PACIFIC STREET,6
193 7 AVENUE,4
193 BEDFORD AVENUE,10
193 EAST 7 STREET,12
193 HESTER STREET,18
193 JORALEMON STREET,16
193 LENOX AVENUE,11
1930 BAY RIDGE AVENUE,2
1930 PACIFIC STREET,6
1932 PACIFIC STREET,6
1935 BERGEN STREET,5
1935 GATES AVENUE,4
194 BAY 22 STREET,4
194 BUTLER STREET,9
194 EAST 2ND STREET,12
194 MONTROSE AVENUE,7
194 SCHENECTADY AVENUE,3
1947 OCEAN AVENUE,3
195 BOWERY,14
195 CLASSON AVENUE,7
195 CLINTON STREET,15
195 COURT STREET,9
195 DEKALB AVENUE,9
195 DRIGGS AVENUE,10
195 JOHNSON AVENUE,8
195 MULBERRY STREET,17
195 NORTH 6 STREET,13
195 PRESIDENT STREET,6
195 PRINCE STREET,19
195 QUINCY STREET,6
195 WEST 10 STREET,17
1954 73 STREET,4
1954 UNIONPORT ROAD,6
196 COURT STREET,10
196 ELIZABETH STREET,13
196 GRAHAM AVENUE,6
196 LENOX ROAD,4
196 PROSPECT PARK WEST,6
196 SOUTH 2 STREET,9
196 WEST 10 STREET,17
196 WEST 134 STREET,13
1960 EAST TREMONT AVENUE,7
1965 BERGEN STREET,6
1965 BROADWAY,17
197 AINSLIE STREET,9
197 KANE STREET,11
197 SPENCER STREET,7
1970 EAST TREMONT AVENUE,7
1977 EASTERN PARKWAY,5
198 CALYER STREET,6
198 CLIFTON PLACE,5
198 MAC DOUGAL STREET,10
198 MONITOR STREET,4
198 MONTROSE AVENUE,7
198 SCHOLES STREET,7
198 WEST 10 STREET,20
198-19 47 AVENUE,0
1980 UNIONPORT ROAD,4
1982 LEXINGTON AVENUE,10
199 LEFFERTS AVENUE,3
199 LINDEN BOULEVARD,4
199 STATE STREET,12
1991 BROADWAY,2
2 COENTIES SLIP,20
2 COLUMBUS AVENUE,11
2 COOPER SQUARE,15
2 CORNELIA STREET,15
2 GOLD STREET,20
2 MILLIGAN PLACE,14
2 PIERREPONT PLACE,19
2 RIVER TERRACE,20
2 SOUTH END AVENUE,20
2 ST NICHOLAS TERRACE,10
2 STUYVESANT OVAL,9
2 WEST 16 STREET,12
2-14 50TH AVENUE,12
2-17 51ST AVENUE,12
2-26 50TH AVENUE,12
2-4 CLINTON STREET,11
2-40 51ST AVENUE,14
20 AVENUE A,11
20 BAYARD STREET,11
20 BROADWAY,6
20 BUSHWICK AVENUE,9
20 CLINTON STREET,13
20 COOPER STREET,13
20 DODWORTH STREET,3
20 DONGAN PLACE,1
20 EAST 18 STREET,7
20 EXCHANGE PLACE,20
20 FAIRVIEW PLACE,3
20 HENRY STREET,20
20 JACKSON PLACE,8
20 PINE STREET,20
20 VANDERBILT AVENUE,7
20 WASHINGTON SQUARE N,19
20 WATERSIDE PLAZA,5
20 WEST 10 STREET,20
20 WEST 12 STREET,17
20 WEST 53RD STREET,1
20 WEST 64 STREET,2
20 WEST 70 STREET,4
20 WEST STREET,20
20-08 46 STREET,6
20-10 23 STREET,1
20-12 29 STREET,2
20-22 23 STREET,1
20-24 31 STREET,2
20-28 27 STREET,3
20-32 31 STREET,2
20-33 38 STREET,5
20-34 HIMROD STREET,2
20-35 46 STREET,6
20-37 27 STREET,3
20-37 49 STREET,4
20-40 31 STREET,2
20-43 33 STREET,4
20-45 32 STREET,2
20-46 31 STREET,2
20-47 41 STREET,6
20-50 29 STREET,3
20-51 36 STREET,5
20-55 31 STREET,2
20-57 32 STREET,3
20-58 29 STREET,3
20-64 31 STREET,2
20-64 45 STREET,6
20-66 48 STREET,4
20-67 STEINWAY STREET,5
200 BOWERY,14
200 CENTRAL PARK SOUTH,13
200 CHAMBERS STREET,20
200 DYCKMAN STREET,10
200 EAST 11TH STREET,13
200 EAST 16 STREET,14
200 EAST 27 STREET,10
200 EAST 32 STREET,13
200 EAST 33RD STREET,12
200 EAST 39 STREET,4
200 EAST 58 STREET,4
200 EAST 61 STREET,4
200 EAST 62 STREET,3
200 EAST 64 STREET,3
200 EAST 66TH STREET,2
200 EAST 71ST STREET,1
200 EAST 72 STREET,1
200 EAST 82 STREET,1
200 EAST 87 STREET,2
200 EAST 89 STREET,3
200 EAST 90 STREET,3
200 EAST 94 STREET,1
200 EAST 95TH ST,7
200 IRVING AVENUE,5
200 LAWRENCE AVENUE,3
200 NORTH END AVENUE,20
200 RECTOR PLACE,20
200 RIVERSIDE BOULEVARD,13
200 SCHOLES STREET,7
200 WATER STREET,20
200 WAVERLY PLACE,15
200 WEST 109 STREET,11
200 WEST 20 STREET,11
200 WEST 58 STREET,3
200 WEST 94TH STREET,7
200 WEST END AVENUE,14
200 WITHERS STREET,13
200-20 32 AVENUE,2
200-210 EAST 65 STREET,3
2000 BROADWAY,3
2001 MC GRAW AVENUE,7
2006 BENSON AVENUE,3
201 CENTRAL PARK NORTH,10
201 COLUMBUS AVENUE,3
201 EAST 35TH STREET,12
201 EAST 36 STREET,12
201 EAST 69 STREET,1
201 EAST 80 STREET,1
201 EAST 87 STREET,2
201 EAST 89TH STREET,3
201 EASTERN PARKWAY,10
201 FRANKLIN STREET,7
201 GATES AVENUE,7
201 MARION STREET,8
201 MONTROSE AVENUE,7
201 PROSPECT PLACE,9
201 WEST 72 STREET,17
201 WEST 77TH STREET,15
201-14 32 AVENUE,3
2010 PALMETTO STREET,4
2010 POWELL AVENUE,4
2013 AVENUE T,3
2016 ALBEMARLE ROAD,2
2016 REGENT PLACE,1
2017 FULTON STREET,12
202 1 AVENUE,14
202 EAST 35 STREET,13
202 MESEROLE STREET,6
202 RIVINGTON STREET,13
202 WEST 81 STREET,11
2020 AVENUE O,1
2020 GRAND CONCOURSE,10
2025 1 AVENUE,12
203 BERKELEY PLACE,4
203 BRIDGE STREET,12
203 COURT STREET,10
203 EAST 121ST STREET,10
203 EAST 4 STREET,14
203 RIVINGTON STREET,13
203 WEST 107 STREET,12
203 WEST 85 STREET,1
2031 OCEAN AVENUE,1
2032 UNION STREET,4
2033 STILLWELL AVENUE,5
2038 5 AVENUE,16
2039 HOMECREST AVENUE,3
204 ADELPHI STREET,8
204 COLUMBIA HEIGHTS,20
204 EAST 112 STREET,13
204 HUNTINGTON STREET,8
204 MONTROSE AVENUE,7
204 WEST 80 STREET,13
204 WEST 98 STREET,8
2046 GATES AVENUE,2
2048 MADISON AVENUE,16
205 71 STREET,3
205 8 AVENUE,13
205 EAST 10 STREET,14
205 EAST 22 STREET,14
205 EAST 59 STREET,5
205 EAST 68 STREET,1
205 EAST 85 STREET,2
205 NORTH 9TH STREET,10
205 SOUTH 1 STREET,11
205 VAN BUREN STREET,7
205 WATER STREET,11
205 WEST 103 STREET,10
205 WEST 107 STREET,11
205 WEST 54 STREET,1
205 WEST 76TH STREET,11
205 WEST 88 STREET,9
2058 EAST 41 STREET,5
206 21 STREET,5
206 61 STREET,1
206 EAST 10 STREET,14
206 EAST 124 STREET,11
206 EAST 13 STREET,14
206 EAST 6 STREET,16
206 EAST 73 STREET,1
206 EAST 87 STREET,2
206 EAST 9 STREET,15
206 EAST 95 STREET,1
206 FRONT STREET,10
206 GREEN STREET,7
206 SCHOLES STREET,6
206 SPENCER STREET,6
206 WEST 79 STREET,12
2060 PACIFIC STREET,6
2063 FREDERICK DOUGLASS BLVD,9
2068 BATH AVENUE,4
207 2 AVENUE,13
207 DE KALB AVENUE,10
207 EAST 29 STREET,8
207 EAST 37 STREET,14
207 MADISON STREET,12
207 MESEROLE STREET,6
207 MONTROSE AVENUE,7
207 NORTH 6 STREET,10
207 OCEAN PARKWAY,4
207 PARK PLACE,8
207 SUMPTER STREET,9
207 WEST 107 STREET,11
207 WEST 11 STREET,13
2070 EAST 13 STREET,3
2075 BEDFORD AVENUE,5
2075 EAST 16 STREET,4
2077 5 AVENUE,14
208 8 AVENUE,7
208 EAST 124 STREET,11
208 EAST 7 STREET,12
208 EAST 82 STREET,1
208 EAST 95 STREET,1
208 EVERGREEN AVENUE,5
208 GRAFTON STREET,5
208 STARR STREET,3
208 WEST 82 STREET,12
209 76 STREET,3
209 GREENE AVENUE,7
209 LINCOLN PLACE,5
209 MALCOLM X BOULEVARD,3
209 PROSPECT AVENUE,6
209 WEST 138 STREET,9
209 WEST 21 STREET,12
209-211 SOUTH 1 STREET,11
2090 FREDERICK DOUGLASS BLVD,9
2098 FREDERICK DOUGLASS BOULEVARD,9
21 EAST 1 STREET,13
21 EAST 108 STREET,12
21 EAST 43 STREET,1
21 EAST 61ST STREET,4
21 HERKIMER STREET,1
21 HIMROD STREET,4
21 JUDGE STREET,9
21 MAGAW PLACE,8
21 MONTGOMERY PLACE,8
21 MONTROSE AVENUE,9
21 PARK STREET,6
21 SOUTH END AVENUE,20
21 ST PAUL'S COURT,7
21 WEST 127 STREET,14
21 WEST 86 STREET,2
21 WEST END AVENUE,15
21 WEST STREET,20
21-00 35 STREET,3
21-01 29 STREET,3
21-05 25 ROAD,6
21-05 33 AVENUE,4
21-05 33 STREET,3
21-06 30 AVENUE,6
21-07 25 ROAD,6
21-07 STEINWAY STREET,5
21-08 STEINWAY STREET,5
21-12 22 DRIVE,5
21-12 23 STREET,3
21-14 33 STREET,3
21-15 25 ROAD,6
21-15 32 STREET,3
21-15 43 STREET,6
21-16 31 AVENUE,5
21-16 73 STREET,0
21-17 31 AVENUE,5
21-19 27 STREET,3
21-19 AMORY COURT,1
21-20 27 ROAD,6
21-21 24 STREET,1
21-22 STEINWAY STREET,5
21-23 33 AVENUE,5
21-23 43 STREET,6
21-24 21 ROAD,4
21-24 30 AVENUE,6
21-25 21 ROAD,4
21-25 43 STREET,6
21-26 21 ROAD,4
21-27 21 ROAD,4
21-27 31 ROAD,5
21-28 BROADWAY,5
21-29 31 AVENUE,5
21-31 27 STREET,2
21-31 32 STREET,3
21-34 43 STREET,5
21-37 33 AVENUE,5
21-39 29 STREET,4
21-39 32 STREET,3
21-41 28 STREET,3
21-45 28 STREET,3
21-46 29 STREET,4
21-55 27 STREET,2
21-57 33 STREET,3
21-57 78 STREET,7
21-61 28 STREET,3
21-61 79 STREET,8
21-63 41 STREET,5
21-65 79 STREET,8
21-68 31 STREET,3
21-68 41 STREET,5
21-69 STEINWAY STREET,5
21-73 28 STREET,3
210 26 STREET,4
210 CALYER STREET,5
210 DAHILL ROAD,1
210 EAST 15 STREET,14
210 EAST 38 STREET,16
210 EAST 47 STREET,3
210 EAST 68 STREET,1
210 GATES AVENUE,7
210 MALCOLM X BOULEVARD,4
210 MARINE AVENUE,6
210 SOUTH 1 STREET,10
210 THOMPSON STREET,14
210 WEST 10 STREET,17
210 WEST 107 STREET,11
210 WEST 19 STREET,12
210 WEST 70 STREET,2
2100 BEDFORD AVENUE,5
2101 5 AVENUE,14
2101 ALBEMARLE ROAD,2
2101 FREDERICK DOUGLASS BOULEVARD,9
2102 BEVERLY ROAD,1
2104 82 STREET,4
2106 82 STREET,4
2109 BROADWAY,17
211 BEACH 96 STREET,5
211 CLINTON STREET,14
211 EAST 13TH STREET,14
211 EAST 14 STREET,14
211 EAST 34 STREET,13
211 EAST 51 STREET,3
211 EAST 53 STREET,3
211 EAST 70 STREET,1
211 EAST BROADWAY,14
211 NASSAU AVENUE,8
211 NORTH END AVENUE,20
211 PRESIDENT STREET,8
211 ST NICHOLAS AVENUE,4
211 WEST 123 STREET,11
211 WEST 14 STREET,12
211 WEST 252 STREET,2
211 WEST 56TH STREET,2
2110 FREDERICK DOUGLASS BLVD,9
2110 NEWKIRK AVENUE,0
2111 BEEKMAN PLACE,9
2111 FOSTER AVENUE,2
2115 60 STREET,3
2116 76 STREET,2
2116 DORCHESTER ROAD,1
212 5 AVENUE,8
212 EAST 10 STREET,14
212 EAST 35 STREET,12
212 EAST 47 STREET,2
212 EAST 57 STREET,4
212 EAST 84 STREET,2
212 EAST 88 STREET,3
212 EAST 95 STREET,1
212 FRANKLIN STREET,6
212 HIMROD STREET,5
212 NORTH 9 STREET,10
212 STARR STREET,3
212 WARREN STREET,18
212 WEST 14 STREET,11
212 WEST 20 STREET,11
212 WEST 79 STREET,11
212 WEST 91ST STREET,8
2121-2125 FOSTER AVENUE,2
2129 PITKIN AVENUE,4
213 61 STREET,1
213 BENNETT AVENUE,11
213 EAST 25 STREET,14
213 EAST 31 STREET,10
213 EAST BROADWAY,14
213 EASTERN PARKWAY,10
213 PROSPECT AVENUE,6
213 WEST 18 STREET,12
213 WEST 21 STREET,12
213 WEST 238 STREET,8
213 WYCKOFF AVENUE,4
2130 ADAM CLAYTON POWELL BLVD,9
2135 HOMECREST AVENUE,2
2136 2 AVENUE,11
214 23 STREET,5
214 3 AVENUE,14
214 DEVOE STREET,9
214 EAST 32 STREET,11
214 EAST 35 STREET,12
214 EAST 8 STREET,5
214 NORTH 11 STREET,14
214 WALWORTH STREET,6
214 WEIRFIELD STREET,7
2140 BARNES AVENUE,4
2143 ADAM C POWELL BLVD,10
2143 BLEECKER STREET,2
2147 2 AVENUE,12
2147 EAST 17 STREET,4
215 13 STREET,6
215 AVENUE A,12
215 EAST 48 STREET,3
215 EAST 68 STREET,1
215 EAST 8 STREET,4
215 EAST 80 STREET,1
215 EAST 81 STREET,1
215 EAST 86 STREET,2
215 EAST 88 STREET,3
215 EAST 96 STREET,7
215 FRANKLIN STREET,6
215 FREEMAN STREET,5
215 MARTENSE STREET,3
215 MAUJER STREET,10
215 NASSAU AVENUE,8
215 STERLING STREET,1
215 SULLIVAN STREET,13
215 WEST 108 STREET,8
215 WEST 11 STREET,14
215 WEST 136 STREET,8
215 WEST 75 STREET,14
215 WEST 83 STREET,7
215 WEST 95 STREET,6
2156 2 AVENUE,9
2157 EAST 69 STREET,3
216 6 AVENUE,2
216 7 STREET,4
216 BRADHURST AVENUE,12
216 DEVOE STREET,9
216 FLATBUSH AVENUE,9
216 SOUTH 2 STREET,9
216 WEST 78 STREET,12
216 WEST 89TH STREET,10
216-218 EAST 47 STREET,2
2161 FREDERICK DOUGLASS BLVD,9
2162 FREDERICK DOUGLASS BLVD,9
2167 3 AVENUE,13
217 7 AVENUE,3
217 88 STREET,1
217 AVENUE A,12
217 BOWERY,13
217 COURT STREET,10
217 EAST 29 STREET,8
217 EAST 86 STREET,2
217 MOTT STREET,15
217 OCEAN AVENUE,12
217 STUYVESANT AVENUE,3
217 THOMAS S BOYLAND STREET,9
217 VAN BRUNT STREET,4
217 WEST 14 STREET,12
217 WEST 62 STREET,2
218 25 STREET,4
218 62 STREET,2
218 EAST 12 STREET,13
218 FROST STREET,11
218 HAWTHORNE STREET,3
218 MYRTLE AVENUE,12
218 NEW YORK AVENUE,2
218 WALWORTH STREET,6
218 WEST 104 STREET,10
2186 5 AVENUE,14
219 92 STREET,3
219 AVENUE A,11
219 BEDFORD AVENUE,14
219 CLERMONT AVENUE,8
219 DE GRAW STREET,9
219 EAST 10 STREET,15
219 EAST 30 STREET,11
219 WEST 106 STREET,11
219 WEST 15 STREET,12
219 WEST 80 STREET,12
219 WEST 81ST STREET,12
2194 3 AVENUE,11
22 3 STREET,8
22 CORNELIA STREET,16
22 FAYETTE STREET,7
22 MELROSE STREET,5
22 NORTH 6 STREET,8
22 ST NICHOLAS PLACE,10
22 WEIRFIELD STREET,6
22 WEST 15 STREET,15
22 WEST 66 STREET,4
22 WEST 83 STREET,2
22-01 STEINWAY STREET,5
22-02 HIMROD STREET,0
22-11 STEINWAY STREET,4
22-12 23 STREET,5
22-14 49 STREET,5
22-14 STEINWAY STREET,3
22-17 74 STREET,7
22-18 28 STREET,1
22-18 41 STREET,4
22-18 47 STREET,4
22-19 41 STREET,5
22-19 49 STREET,5
22-25 49 STREET,5
22-26 76 STREET,8
22-28 27 STREET,3
22-28 77 STREET,10
22-31 47 STREET,4
22-32 24 STREET,5
22-32 STEINWAY STREET,3
22-33 35 STREET,3
22-35 38 STREET,3
22-36 35 STREET,3
22-37 35 STREET,3
22-38 41 STREET,3
22-42 74 STREET,1
22-44 STEINWAY STREET,0
22-48 29 STREET,1
22-48 78 STREET,10
22-54 47 STREET,3
22-55 33 STREET,3
22-55 41 STREET,3
22-57 37 STREET,3
22-58 27 STREET,5
22-58 78 STREET,10
22-60 27 STREET,5
22-63 38 STREET,3
22-69 28 STREET,3
22-77 STEINWAY STREET,3
22-79 STEINWAY STREET,3
220 72 STREET,3
220 EAST 24 STREET,15
220 EAST 57 STREET,4
220 EAST 63 STREET,3
220 EAST 65 STREET,3
220 EAST 74 STREET,1
220 FRONT STREET,16
220 HIMROD STREET,5
220 MONTAUK AVENUE,3
220 NORTH 10 STREET,10
220 NORTH 9 STREET,10
220 RIVERSIDE BOULEVARD,13
220 VERNON AVENUE,8
220 WADSWORTH AVENUE,12
220 WATER STREET,11
220 WEST 107 STREET,12
220 WEST 148TH STREET,9
220 WEST 24 STREET,13
220 WEST 93 STREET,8
2205 3 AVENUE,11
221 AVENUE B,10
221 BAY 44 STREET,8
221 BEACH 137 STREET,1
221 EAST 35 STREET,12
221 EAST 82 STREET,1
221 FOSTER AVENUE,4
221 MALCOLM X BOULEVARD,4
221 SEAMAN AVENUE,8
221 ST JAMES PLACE,7
221 TROUTMAN STREET,4
221 WADSWORTH AVENUE,12
221 WEST 12 STREET,12
2211 3 AVENUE,10
2211 DITMAS AVENUE,1
2215 NEWKIRK AVENUE,1
2217 CATON AVENUE,6
222 COLUMBIA STREET,7
222 EAST 17 STREET,14
222 EAST 39TH STREET,4
222 EAST 61 STREET,4
222 EAST 67 STREET,2
222 EAST 80 STREET,1
222 METROPOLITAN AVENUE,15
222 PARK PLACE,8
222 PULASKI STREET,4
222 SUNNYSIDE AVENUE,5
222 WEST 116 STREET,11
222 WEST 14 STREET,11
2222 EAST 18 STREET,3
2225 DITMAS AVENUE,1
2228 AMSTERDAM AVENUE,7
223 2 AVENUE,14
223 DEAN STREET,8
223 DEVOE STREET,9
223 EAST 111 STREET,12
223 EAST 12 STREET,13
223 EAST 74 STREET,1
223 EAST 80 STREET,1
223 EAST 85 STREET,2
223 EAST 94 STREET,4
223 NORTH 8 STREET,9
223 SOUTH 3 STREET,8
223 SULLIVAN STREET,13
223 WEST 13 STREET,12
223 WEST 135 STREET,10
2231 ADAM CLAYTON POWELL JR BOULEVARD,12
2233 OCEAN AVENUE,3
224 1 AVENUE,14
224 EAST 21 STREET,17
224 EAST 27 STREET,11
224 EAST 52 STREET,4
224 EAST 85 STREET,2
224 MULBERRY STREET,6
224 PARK AVENUE SOUTH,11
224 RICHMOND TERRACE,6
224 VERNON AVENUE,8
224 WEST 18 STREET,13
224-03 59 AVENUE,2
224-10 JAMAICA AVENUE,2
225 5TH AVENUE,9
225 89 STREET,1
225 EAST 138 STREET,10
225 EAST 19TH STREET,14
225 EAST 28 STREET,7
225 EAST 34 STREET,11
225 EAST 46 STREET,2
225 EAST 47 STREET,3
225 EAST 57 STREET,4
225 EAST 6 STREET,16
225 EAST 83 STREET,1
225 EAST 86 STREET,2
225 EASTERN PARKWAY,9
225 FOSTER AVENUE,4
225 MADISON STREET,3
225 NORTH 9 STREET,11
225 RECTOR PLACE,20
225 SCHERMERHORN STREET,9
225 STERLING PLACE,8
225 WEST 60 STREET,2
225 WEST 83 STREET,0
225-03 59 AVENUE,3
2250 BROADWAY,12
2259 ADAM C POWELL BLVD,13
226 4 AVENUE,3
226 EAST 18 STREET,12
226 EAST 29 STREET,8
226 EAST 3 STREET,12
226 EAST 53 STREET,4
226 EAST 59 STREET,4
226 EAST 85 STREET,2
226 LAFAYETTE STREET,15
2265 GERRITSEN AVENUE,6
2267 EAST 26 STREET,4
227 12TH STREET,5
227 CLARKSON AVENUE,3
227 EAST 11 STREET,12
227 EAST 2 STREET,12
227 EAST 5 STREET,16
227 EAST 57 STREET,3
227 EAST 7 STREET,5
227 FROST STREET,11
227 HANCOCK STREET,3
227 LEXINGTON AVENUE,5
227 MARION STREET,8
227 MONROE STREET,5
227 MULBERRY STREET,12
227 TROY AVENUE,4
227 W 77TH STREET,10
227 WEST 105 STREET,9
227 WEST 109 STREET,8
227 WEST 16 STREET,13
227 WYCKOFF AVENUE,4
2279 EAST 27 STREET,4
2279 PACIFIC STREET,7
228 CLINTON STREET,15
228 EAST 75 STREET,1
228 EAST 81 STREET,1
228 WARREN STREET,10
228 WEST 71 STREET,18
2280 FREDERICK DOUGLASS BLVD,10
2288 ATLANTIC AVENUE,7
229 88 STREET,1
229 CHRYSTIE STREET,12
229 EAST 10 STREET,15
229 EAST 11 STREET,12
229 EAST 115 STREET,13
229 EAST 12 STREET,13
229 EAST 13 STREET,14
229 EAST 24 STREET,12
229 EAST 28 STREET,8
229 EAST 29 STREET,8
229 EAST 53 STREET,6
229 EAST 67 STREET,3
229 HENRY STREET,14
229 SEAMAN AVENUE,8
229 WEST 116 STREET,9
229 WEST 20 STREET,3
229 WEST 60 STREET,2
229 WYCKOFF AVENUE,4
229 WYCKOFF STREET,7
2290 DR M L KING JR BLVD,6
2295 PACIFIC STREET,7
2296 FREDERICK DOUGLASS BLVD,9
23 AVENUE A,11
23 EAST 22 STREET,12
23 FILLMORE PLACE,12
23 FROST STREET,10
23 GABRIEL DRIVE,6
23 KING STREET,15
23 LEROY STREET,16
23 MESEROLE STREET,9
23 NEWEL STREET,10
23 WEST 116 STREET,8
23 WEST 56 STREET,4
23 WEST 82 STREET,2
23-01 21 AVENUE,1
23-01 30 DRIVE,5
23-02 29 AVENUE,5
23-14 BROADWAY,5
23-15 ASTORIA BOULEVARD,7
23-16 BROADWAY,5
23-17 28 AVENUE,7
23-17 29 STREET,5
23-17 38 STREET,3
23-17 BROADWAY,5
23-18 BROADWAY,5
23-19 21 STREET,6
23-19 35 STREET,2
23-20 30 DRIVE,5
23-21 31 AVENUE,4
23-23 29 AVENUE,5
23-27 21 STREET,6
23-29 21 STREET,0
23-30 28 STREET,5
23-30 37 STREET,3
23-31 21 STREET,6
23-33 30 AVENUE,5
23-33 31 ROAD,5
23-36 31 AVENUE,4
23-36 31 DRIVE,5
23-38 30 DRIVE,5
23-38 33 STREET,1
23-40 38 STREET,3
23-41 33 STREET,1
23-42 33 AVENUE,5
23-43 35 STREET,2
23-44 24 STREET,4
23-44 37 STREET,3
23-46 29 STREET,5
23-46 33 AVENUE,5
23-49 33 AVENUE,5
23-50 38 STREET,2
23-56 28 STREET,5
23-56 36 STREET,2
23-67 CRESCENT STREET,4
23-68 35 STREET,1
23-69 28 STREET,5
23-69 38 STREET,2
23-70 23 STREET,5
23-70 32 STREET,5
23-85 28 STREET,5
23-86 23 STREET,5
23-90 32 STREET,5
23-92 24 STREET,5
23-92-23-92A 37 STREET,2
230 ASHLAND PLACE,13
230 CENTRAL PARK SOUTH,1
230 CENTRAL PARK WEST,2
230 EAST 124 STREET,11
230 EAST 27 STREET,11
230 EAST 30 STREET,2
230 EAST 79 STREET,0
230 EAST 81 STREET,1
230 RIVERSIDE DRIVE,8
230 SMITH STREET,6
230 UNION STREET,8
230 WEST 107 STREET,10
230 WEST 16 STREET,15
230 WEST 55 STREET,1
230 WEST 56 STREET,1
230 WEST 79 STREET,9
2305 ADAM C POWELL BLVD,12
2308 WEST 7 STREET,5
231 10 AVENUE,12
231 EAST 58 STREET,5
231 FROST STREET,12
231 WEST 137 STREET,7
231 WEST 25 STREET,12
2316 BEDFORD AVENUE,2
2318 BEDFORD AVENUE,2
232 8 AVENUE,9
232 92 STREET,4
232 ADELPHI STREET,9
232 EAST 26 STREET,11
232 EAST 95 STREET,1
232 LEXINGTON AVENUE,6
232 POWERS STREET,11
2325 FOSTER AVENUE,1
2326 2 AVENUE,11
233 56 STREET,0
233 BAY 22 STREET,4
233 BAY 7 STREET,3
233 MAUJER STREET,10
233 SCHERMERHORN STREET ,8
233 WEST 21ST STREET,11
233 WEST 233 STREET,7
2330 HOFFMAN STREET,9
2330 VOORHIES AVENUE,5
